Model,MAE,RMSE,R²
Naive,1806.9751398533951,2529.581396480351,0.9920339592934714
Random Forest,17828.955299076923,26578.090386960874,0.12058726157796229
XGBoost,19695.418262924384,28805.841759133764,-0.0330143281160995
LSTM,5110.328375771605,6796.941333776696,0.9424861756249296
